Island,site,Latitude,Longitude
Grand_Cayman,bonnies_arch_deep,19.37,-81.4194
Grand_Cayman,bonnies_arch_shallow,19.37,-81.4194
Grand_Cayman,cemetery,19.362667,-81.398083
Little_Cayman,cumbers,19.69055,-80.069783
Grand_Cayman,don_fosters,19.290944,-81.390306
Grand_Cayman,eden_rock,19.29315,-81.3871
Grand_Cayman,fish_pot,19.300083,-81.385333
Grand_Cayman,fishpot,19.300083,-81.385333
Grand_Cayman,happs_pipeline,19.38538,-81.41645
Grand_Cayman,sunset,19.2863,-81.391417
Grand_Cayman,wharf,19.306222,-81.387056
Little_Cayman,meadows,19.69195,-80.0687
Little_Cayman,mixing_bowl,19.684917,-80.078
